input_compound,trace_label,dt,section,mutual_info
NaOH,239.06_0.644,-300,0,0.24465265324554863
NaOH,239.06_0.658,-300,0,0.21125736020179708
NaOH,239.06_0.692,-300,0,0.5366103858656555
NaOH,239.06_0.708,-300,0,0.4651315059282948
NaOH,239.06_0.724,-300,0,0.6327580704166031
NaOH,241.03_0.597,-300,0,0.5042998819296827
NaOH,241.03_0.611,-300,0,0.6978704128162825
NaOH,241.03_0.632,-300,0,0.4542369880172408
NaOH,241.03_0.767,-300,0,0.3132232137863409
NaOH,242.28_0.792,-300,0,0.6091389877263182
NaOH,243.06_0.61,-300,0,0.35573505695470775
NaOH,243.06_0.646,-300,0,0.3632456298596134
NaOH,243.06_0.658,-300,0,0.3492796513383549
NaOH,243.06_0.708,-300,0,0.5670877923606623
NaOH,245.06_0.615,-300,0,0.6306233386637508
NaOH,245.06_0.65,-300,0,0.443826759388938
NaOH,245.06_0.664,-300,0,0.38394610603553536
NaOH,245.06_0.695,-300,0,0.5112227350823026
NaOH,245.06_0.719,-300,0,0.5305080743068165
NaOH,245.06_0.762,-300,0,0.6793253413675395
NaOH,246.07_0.611,-300,0,0.6579586932309107
NaOH,246.07_0.661,-300,0,0.24281241530639797
NaOH,246.07_0.719,-300,0,0.4653696084672716
NaOH,249.03_0.605,-300,0,0.35426762110844967
NaOH,249.03_0.617,-300,0,0.3995309365683184
NaOH,249.03_0.634,-300,0,0.5822383495072225
NaOH,249.03_0.7,-300,0,0.2475548848488338
NaOH,249.03_0.736,-300,0,0.5242255073381474
NaOH,249.03_0.757,-300,0,0.3363800863220212
NaOH,249.09_0.614,-300,0,0.35862938407004785
NaOH,249.09_0.683,-300,0,0.6280176359556742
NaOH,249.09_0.727,-300,0,0.35294578723283365
NaOH,251.06_0.617,-300,0,0.5008644593267424
NaOH,251.06_0.654,-300,0,0.29155484299196743
NaOH,251.06_0.668,-300,0,0.15920395649435637
NaOH,251.06_0.713,-300,0,0.420432586271696
NaOH,251.06_0.73,-300,0,0.5239607333928804
NaOH,252.07_0.614,-300,0,0.6443707590112968
NaOH,252.07_0.648,-300,0,0.40893832620590986
NaOH,252.07_0.664,-300,0,0.32166398844168853
NaOH,260.07_0.623,-300,0,0.5819098074826248
NaOH,260.07_0.658,-300,0,0.28573758029431584
NaOH,260.07_0.672,-300,0,0.23345696713448838
NaOH,260.07_0.724,-300,0,0.4658782071076266
NaOH,263.07_0.624,-300,0,0.647121791332494
NaOH,263.07_0.685,-300,0,0.19589875548531444
NaOH,263.07_0.722,-300,0,0.6655711305698233
NaOH,263.07_0.738,-300,0,0.7463205467710181
NaOH,263.07_0.784,-300,0,0.5005255473808887
NaOH,264.03_0.609,-300,0,0.6481525120142306
NaOH,264.03_0.644,-300,0,0.589766962226808
NaOH,264.03_0.745,-300,0,0.436171859871493
NaOH,264.05_0.617,-300,0,0.6198552689252388
NaOH,264.05_0.632,-300,0,0.5467222987625409
NaOH,264.05_0.767,-300,0,0.24072112385221622
NaOH,275.07_0.63,-300,0,0.629498797167845
NaOH,275.07_0.665,-300,0,0.3666634472084449
NaOH,275.07_0.682,-300,0,0.3437416995706353
NaOH,275.07_0.74,-300,0,0.25869888461365464
NaOH,279.04_0.623,-300,0,0.6150859955005177
NaOH,279.04_0.657,-300,0,0.6029006129114203
NaOH,279.04_0.768,-300,0,0.8374094499680615
NaOH,290.08_0.64,-300,0,0.5990931636232095
NaOH,290.08_0.691,-300,0,0.48418101118351764
NaOH,290.08_0.754,-300,0,0.46611684426755406
NaOH,294.04_0.632,-300,0,0.6076165511554139
NaOH,294.04_0.664,-300,0,0.5260886675842249
NaOH,301.05_0.64,-300,0,0.5894764059501831
NaOH,301.05_0.744,-300,0,0.338317243826753
NaOH,301.05_0.778,-300,0,0.43047396512510394
NaOH,301.09_0.65,-300,0,0.543839403139895
